text,policy_area
"Expressing the sense of Congress that
		  national health care reform should ensure that the health care needs of women
		  and of all individuals in the United States are met.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to
		  preserve the effectiveness of medically important antibiotics used in the
		  treatment of human and animal diseases.",Health
"To amend the Public Health Service Act with

		  regard to research on asthma, and for other purposes.",Health
"To amend the Public Health Service Act to require State educational agencies and tribal educational
			 agencies receiving funds under section 520A of such Act to establish and
			 implement a school-based student suicide awareness and prevention training
			 policy and school threat assessment team policy, and for other purposes.",Health
"To extend by one year the moratorium on implementation of
		  a rule relating to the Federal-State financial partnership under Medicaid and
		  the State Children’s Health Insurance Program and on finalization of a Medicaid
		  rule regarding graduate medical education.",Health
"To implement demonstration projects at federally
		  qualified community health centers to promote universal access to family
		  centered, evidence-based behavioral health interventions that prevent child
		  maltreatment and promote family well-being by addressing parenting practices
		  and skills for families from diverse socioeconomic, cultural, racial, ethnic,
		  and other backgrounds, and for other purposes. ",Health
"To amend titles XVIII and XIX of the Social

		  Security Act and title III of the Public Health Service Act to improve access

		  to information about individuals’ health care options and legal rights for care

		  near the end of life, to promote advance care planning and decisionmaking so

		  that individuals’ wishes are known should they become unable to speak for

		  themselves, to engage health care providers in disseminating information about

		  and assisting in the preparation of advance directives, which include living

		  wills and durable powers of attorney for health care, and for other

		  purposes.",Health
"To amend the Federal Food, Drug, and Cosmetic Act and the Defense Production Act of 1950 to prohibit the Federal Government from limiting State access to key therapies, such as monoclonal antibodies, and from prioritizing Federal contracts over State contracts relating to purchasing supplies to combat the COVID–19 pandemic.",Health
Supporting mask-wearing as an important measure to limit the spread of the Coronavirus Disease 2019 (COVID–19).,Health
"To make hemp, cannabidiol derived from hemp, and any other ingredient derived from hemp lawful for use under the Federal Food, Drug, and Cosmetic Act as a dietary ingredient in a dietary supplement, and for other purposes.",Health
"To amend the Public Health Service Act to direct the Secretary of Health and Human Services to develop best practices for the establishment and use of behavioral intervention teams at schools, and for other purposes.",Health
"Supporting the goals and ideals of Red
		  Ribbon Week, 2009.",Health
"To amend title XVIII of the Social Security Act to
		  provide certain high cost Medicare beneficiaries suffering from multiple
		  chronic conditions with access to Independence at Home services in lower cost
		  treatment settings, such as their residences, under a plan of care developed by
		  an Independence at Home physician or Independence at Home nurse
		  practitioner.",Health
"Supporting the goals and ideals of Red
		  Ribbon Week.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to provide for notification by manufacturers of critical essential medicines of increased demand of such drugs, and for other purposes.",Health
"To promote and expand the application of telehealth under Medicare and other Federal health care programs, and for other purposes.",Health
"To amend the Medicare Prescription Drug, Improvement, and
		  Modernization Act of 2003 to expand comparative effectiveness research and to
		  increase funding for such research to improve the value of health
		  care.",Health
"To amend title XVIII of the Social Security Act to reduce
		  the occurrence of diabetes in Medicare beneficiaries by extending coverage
		  under Medicare for medical nutrition therapy services to such beneficiaries
		  with pre-diabetes or with risk factors for developing type 2
		  diabetes.",Health
"To amend title XVIII of the Social Security Act to update and clarify the classification of and
			 applicable payment methodology for complex rehabilitation technology items
			 under the Medicare program, and for other purposes.",Health
"To amend the Federal Food, Drug, and
		  Cosmetic Act to reauthorize user fee programs relating to new animal
		  drugs.",Health
"To amend the Federal Food, Drug, and
		  Cosmetic Act and the Public Health Service Act to improve the prevention,
		  diagnosis, and treatment of heart disease, stroke, and other cardiovascular
		  diseases in women.",Health
"To amend title XVIII of the Social Security Act to
		  provide for an extension of certain ambulance add-on payments under the
		  Medicare program.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to allow, during a lapse in appropriations,
			 acceptance of certain device submissions and registrations with the
			 corresponding fees made available for obligation and expenditure for the
			 process for the review of device applications, and for other purposes.",Health
"To improve the palliative and end-of-life

		  care provided to children with life-threatening conditions, and for other

		  purposes.",Health
"To amend title XVIII of the Social Security Act to facilitate the transition to Medicare for
			 individuals enrolled in group health plans, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to provide for intelligent assignment of certain
			 subsidy eligible individuals auto-enrolled under Medicare prescription
			 drug plans and MA–PD plans.",Health
"To amend the Public Health Service Act to provide for a
		  loan repayment program for faculty members at programs of general dentistry or
		  pediatric dentistry to alleviate faculty shortages.",Health
"Supporting the designation of April as
		  Parkinson’s Awareness Month.",Health
"To exempt health insurance of residents of United States territories from the annual fee on health
			 insurance providers.",Health
"To provide for the establishment of a fund to provide for an expanded and sustained  national
			 investment in biomedical research.",Health
"Expressing support for designation of
		  September 2012 as National Ovarian Cancer Awareness Month.",Health
To require private health insurers to cover care related to COVID-19 without cost-sharing and to provide for special enrollment periods for individuals diagnosed with COVID-19.,Health
"To improve women’s access to health care services and

		  provide improved medical care by reducing the excessive burden the liability

		  system places on the delivery of obstetrical and gynecological

		  services.",Health
To amend title XVIII of the Social Security Act to authorize the Secretary of Health and Human Services to make adjustments to payment rates for skilled nursing facilities under the Medicare program to account for certain unique circumstances.,Health
"To direct the Secretary of Health and Human Services to establish a task force to conduct a study on physician shortages, including barriers to physicians trained abroad practicing in the United States, and for other purposes.",Health
To amend title XVIII of the Social Security Act to eliminate discriminatory copayment rates for outpatient psychiatric services under the Medicare Program.,Health
"To authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to facilitate the funding of community-based mental health and substance use disorder services and peer support programs, and for other purposes.",Health
"To amend title XIX of the Social Security Act to protect the enrollment of incarcerated youth for
			 medical assistance under the Medicaid program, and for other purposes. ",Health
"To award a Congressional Gold Medal to Dr. Balazs
		  Ernie Bodai in recognition of his many outstanding contributions
		  to the Nation, including a tireless commitment to breast cancer
		  research.",Health
To provide for the withdrawal of the drug OxyContin from the commercial market.,Health
"Expressing support for the designation of May 10, 2019, as World Lupus Day.",Health
"To authorize the Director of the Centers for Disease Control and Prevention to award grants to eligible State, Tribal, and territorial public health agencies to develop and administer a program for digital contact tracing for COVID–19, and for other purposes.",Health
"To direct the Secretary of Health and Human Services to
		  conduct a public education campaign on umbilical cord blood stem cells, and for
		  other purposes.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to ensure that liquid over-the-counter
			 medications are packaged with appropriate dosage delivery devices and, in
			 the case of such medications labeled for pediatric use, appropriate flow
			 restrictors, and for other purposes.",Health
"Supporting efforts to increase childhood
		  cancer awareness, treatment, and research.",Health
"To repeal the Patient Protection and Affordable Care Act and the Health Care and Education
			 Reconciliation Act of 2010 entirely.",Health
"To amend the Public Health Service Act to establish a

		  federally-supported education and awareness campaign for the prevention of

		  methamphetamine use.",Health
"To amend title XIX of the Social Security Act to promote access to life-saving therapies for
			 Medicaid enrollees by ensuring coverage of routine patient costs for items
			 and services furnished in connection with participation in qualifying
			 clinical trials, and for other purposes.",Health
"To amend the Public Health Service Act to provide for
		  community projects that will reduce the number of individuals who are uninsured
		  with respect to health care, and for other purposes.",Health
"To amend title XIX of the Social Security Act to prohibit States receiving Federal medical
			 assistance for medication-assisted treatment under Medicaid from imposing
			 utilization control policies or procedures with respect to such treatment,
			 and for other purposes.",Health
"Supporting the goals and ideals of National
		  Cystic Fibrosis Awareness Month.",Health
"To amend title III of the Public Health Service Act to
		  authorize and support the creation of cardiomyopathy education, awareness, and
		  risk assessment materials and resources by the Secretary of Health and Human
		  Services through the Centers for Disease Control and Prevention and the
		  dissemination of such materials and resources by State educational agencies to
		  identify more at-risk families.",Health
To establish a process for updating the labeling of certain drugs with outdated labeling.,Health
"To amend the Public Health Service Act to authorize grants for graduate medical education
			 partnerships in States with a low ratio of medical residents relative to
			 the general population.",Health
"To provide for the establishment of medical malpractice insurance corporations which may operate and function without hindrance or impedance in any or all of the States, to limit frivolous medical malpractice lawsuits, and for other purposes.",Health
"To amend the Public Health Service Act to provide for the sharing of health information concerning
			 an individual’s substance abuse treatment by certain entities.",Health
"To amend title XVIII of the Social Security Act to improve access to innovative new medical devices
			 furnished to individuals with end stage renal disease under part B of the
			 Medicare program by establishing a new device add-on payment adjustment
			 under such part.",Health
To provide funding for programs and activities under the SUPPORT for Patients and Communities Act.,Health
To amend title XVIII of the Social Security Act to provide for coverage under the Medicare program of hearing aids and related hearing services.,Health
"Urging the promotion of equity in the distribution and allocation of COVID–19 vaccines among Hispanic, Black, Asian-American, Native Hawaiian and Pacific Islander, and Native American communities.",Health
"Supporting the goals and ideals of National
		  Clinicians HIV/AIDS Testing and Awareness Day, and for other
		  purposes.",Health
"To improve access to emergency medical services, and for other purposes.",Health
"To amend titles XVIII and XIX of the Social Security Act to require skilled nursing facilities, nursing facilities, and intermediate care facilities for the intellectually disabled to permit certain essential caregiver visitors during a public health emergency under the Medicare and Medicaid programs.",Health
"Supporting legislation promoting improved
		  health care and access to health care for women.",Health
"To amend title XVIII of the Social Security Act to provide coverage and payment under such title for certain treatments for dialysis-related amyloidosis, and for other purposes.",Health
"To provide for relief payments to private and public hospitals that temporarily ceased to operate because of a mandatory evacuation order issued in anticipation of Hurricane Rita, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to
		  protect and preserve access of Medicare beneficiaries in rural areas to health
		  care providers under the Medicare Program, and for other
		  purposes.",Health
"Recognizing World Hepatitis Awareness Month
		  and World Hepatitis Day May 19, 2009.",Health
"To amend the Public Health Service Act to provide for a Reducing Youth Use of E-Cigarettes
			 Initiative.",Health
"To amend the Public Health Service Act to promote obesity
		  prevention, including proper nutrition and exercise.",Health
"To provide greater clarity in the regulation of electronic nicotine delivery systems, including
			 electronic cigarettes, cigars, cigarillos, pipes, and hookahs, and for
			 other purposes.",Health
"To establish the Mental Health in Schools Excellence Program to increase the recruitment and
			 retention of school-based mental health services providers, and for other
			 purposes.",Health
"To express the sense of the Senate
		  concerning the establishment of Doctor of Nursing Practice and Doctor of
		  Pharmacy dual degree programs.",Health
"To amend the Public Health Service Act to authorize grants to certain States to inform patients about the risks of opioids and their analogues, and for other purposes.",Health
"To amend title I of the Patient Protection and Affordable Care Act to impose restrictions on the
			 risk corridor program.",Health
"To establish a health benefits program, based on the
		  Federal employees health benefits program, to provide health insurance coverage
		  for the President, Vice President, and Members of Congress, and citizens not
		  eligible for coverage under the Federal employees health benefits
		  program.",Health
To prohibit the use of Federal funds to conduct or support certain gain-of-function research by a foreign adversary.,Health
"To direct the Secretary of Health and Human Services to carry out a pilot project under which no more than 3 sponsors agree to evaluate the psychological and social distress experienced by patients participating in a clinical trial, conducted by the respective sponsor, of a drug or biological product that is intended to treat a serious or life-threatening disease or condition, and for other purposes.",Health
"To amend the Public Health Service Act to establish a
		  pathway for the licensure of biosimilar biological products, to promote
		  innovation in the life sciences, and for other purposes.",Health
"To provide for an exemption from the individual mandate under the Patient Protection and Affordable Care Act for individuals residing in States in which the Exchange Websites are not fully functional, and for other purposes.",Health
"To amend the Public Health Service Act to authorize the Secretary of Health of Human Services to award grants to States (or collaborations of States) to establish, expand, or maintain a comprehensive regional, State, or municipal system to provide training, education, consultation, and other resources to prescribers relating to patient pain, substance misuse, and substance abuse disorders, and for other purposes.",Health
"To amend the Federal Food, Drug, and
		  Cosmetic Act with respect to the importation of prescription drugs and to amend
		  part D of title XVIII of the Social Security Act to require the Secretary of
		  Health and Human Services to negotiate covered part D drug prices on behalf of
		  Medicare beneficiaries.",Health
"To expand the tropical disease product priority review voucher program to encourage treatments for
			 Zika virus.",Health
"To provide for additional quality control of
		  drugs.",Health
"To end preventable maternal mortality and severe maternal morbidity in the United States and close disparities in maternal health outcomes, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to
		  include vision restoration therapy devices and associated software used in the
		  patient’s home to treat impaired visual function due to acquired brain injury
		  within the definition of durable medical equipment under the Medicare
		  Program.",Health
To amend title XVIII of the Social Security Act to provide for a rebate by manufacturers for selected drugs and biological products subject to maximum fair price negotiation.,Health
"Expressing support for the designation of April 30, 2022, as National Adult Hepatitis B Vaccination Awareness Day.",Health
"To address research on, and improve access to, supportive services for individuals with Long COVID.",Health
"To hold pharmaceutical companies accountable for illegal marketing and distribution of opioid
			 products and for their role in creating and exacerbating the opioid
			 epidemic in the United States.",Health
"To amend title XVIII of the Social Security Act to improve the accuracy of market-based Medicare payment for clinical diagnostic laboratory services, to reduce administrative burdens in the collection of data, and for other purposes.",Health
"To prohibit the Secretary of Health and Human Services from using any type of fee collected to
			 advertise or market Exchanges established under the Patient Protection and
			 Affordable Care Act.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to authorize an extension of exclusivity periods
			 for certain drugs that are approved for a new indication for a rare
			 disease or condition, and for other purposes.",Health
"To amend title XVIII of the Social Security Act to provide coverage of ALS-related services under the Medicare program for individuals diagnosed with amyotrophic lateral sclerosis, and for other purposes.",Health
"To repeal the Federally subsidized loan program for
		  non-profit health insurance, to provide for association health plans, and for
		  other purposes.",Health
"To repeal the provisions of the Patient Protection and
		  Affordable Care Act providing for the Independent Payment Advisory
		  Board.",Health
"To amend the Food and Drug Administration’s
		  mission.",Health
"To amend the Public Health Service Act to establish a public health insurance option, and for other
			 purposes.",Health
"To amend title XVIII of the Social Security Act to
		  clarify the use of private contracts by Medicare beneficiaries for professional
		  services and to allow individuals to choose to opt out of the Medicare part A
		  benefits.",Health
"To improve the health of Americans and reduce health care
		  costs by reorienting the Nation's health care system toward prevention,
		  wellness, and health promotion.",Health
"To amend title XVIII of the Social Security Act to
		  increase the Medicare caps on graduate medical education positions for States
		  with a shortage of residents.",Health
"To amend the Public Health Service Act to revise and
		  extend projects relating to children and violence to provide access to
		  school-based comprehensive mental health programs.",Health
"To amend title XVIII of the Social Security Act to establish a program to allow qualified group practices to furnish certain items and services at qualified skilled nursing facilities to individuals entitled to benefits under part A and enrolled under part B of the Medicare program to reduce unnecessary hospitalizations, and for other purposes.",Health
"To provide for a limitation on availability of funds for Department of Health and Human Services, Centers for Disease Control and Prevention Global Health for fiscal year 2024.",Health
"To reduce disparities and improve access to effective and
		  cost efficient diagnosis and treatment of prostate cancer through advances in
		  testing, research, and education, including through telehealth, comparative
		  effectiveness research, and identification of best practices in patient
		  education and outreach particularly with respect to underserved racial, ethnic
		  and rural populations and men with a family history of prostate cancer, to
		  establish a directive on what constitutes clinically appropriate prostate
		  cancer imaging, and to create a prostate cancer scientific advisory board for
		  the Office of the Chief Scientist at the Food and Drug Administration to
		  accelerate real-time sharing of the latest research and accelerate movement of
		  new medicines to patients.",Health
"To amend part B of title XVIII of the Social Security Act
		  to provide for an exemption of pharmacies and pharmacists from certain Medicare
		  accreditation requirements in the same manner as such exemption applies to
		  certain professionals.",Health
"To amend the Public Health Service Act and title XVIII of
		  the Social Security Act to make the provision of technical services for medical
		  imaging examinations and radiation therapy treatments safer, more accurate, and
		  less costly.",Health
"Recognizing the importance of cancer program accreditation in ensuring comprehensive, high quality,
			 patient-centered cancer care.",Health
"To amend title XVIII of the Social Security Act to provide Medicare coverage for all physicians’
			 services furnished by doctors of chiropractic within the scope of their
			 license, and for other purposes.",Health
To amend title XVIII of the Social Security Act to eliminate discriminatory copayment rates for outpatient psychiatric services under the Medicare Program.,Health
"Expressing support for the designation of the 17th day in May as DIPG Awareness Day to raise awareness and encourage research into cures for diffuse intrinsic pontine glioma (DIPG)
			 and pediatric cancers in general.",Health
"To promote optimal maternity outcomes by making
		  evidence-based maternity care a national priority, and for other
		  purposes.",Health
"To authorize the issuance of United States bonds to fund
		  Alzheimer’s research.",Health
To repeal sections 1341 and 1342 of the Patient Protection and Affordable Care Act.,Health
To provide for the issuance of a Lyme Disease Research Semipostal Stamp.,Health
"To provide for research and education with respect to uterine fibroids, and for other purposes.",Health
"To amend the Public Health Service Act to revise and extend projects relating to children and to
			 provide access to school-based comprehensive mental health programs.",Health
"To require new procedures for health care Exchange Web sites with regard to personal information, and for other purposes.",Health
To amend title XI of the Social Security Act to ensure nursing facilities report information on medical directors of such facilities.,Health
"Designating the month of October 2012 as
		  National Medicine Abuse Awareness Month.",Health
"To establish a Tick-Borne Disorders Advisory Committee, and for other purposes.",Health
"To require updated limits on levels of lead in fruit juice beverages and an updated tolerable daily
			 level of lead exposure from foods, and for other purposes.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to expand the conditional approval pathway for more animal drugs, and for other purposes.",Health
To establish a Medicare-for-all national health insurance program.,Health
"To provide the Secretary of Health and Human Services and
		  the Secretary of Education with increased authority with respect to asthma
		  programs, and to provide for increased funding for such
		  programs.",Health
"To amend the Civil Rights Act of 1964 to protect
		  breastfeeding by new mothers; to provide for a performance standard for breast
		  pumps; and to provide tax incentives to encourage
		  breastfeeding.",Health
"To amend title XIX of the Social Security Act to
		  establish a State plan option under Medicaid to provide an all-inclusive
		  program of care for children who are medically fragile or have one or more
		  chronic conditions that impede their ability to function.",Health
Recognizing the rise of cardiovascular disease as the world’s leading cause of preventable death and disability and as a global public health crisis and supporting the recognition of February 2020 as American Heart Month.,Health
"To amend the Federal Food, Drug, and
		  Cosmetic Act to prohibit the marketing of authorized generic
		  drugs.",Health
"To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the
			 Health Care and Education Reconciliation Act of 2010, and for other
			 purposes.",Health
"To amend title XVIII of the Social Security Act to provide for expanded coverage of services
			 furnished by genetic counselors under part B of the Medicare program, and
			 for other purposes.",Health
"To educate health care providers and the public on biosimilar
biological products, and for other purposes.",Health
"To amend section 330B of the Public Health Service Act to reauthorize special programs for Type I
			 diabetes, and for other purposes.",Health
"To improve and enhance research and programs on childhood
		  cancer survivorship, and for other purposes. ",Health
"To amend title XVIII of the Social Security Act to expand access to telehealth services, and for other purposes.",Health
"To direct the Secretary of Health and Human Services to establish an interagency council on social determinants of health, and for other purposes.",Health
"To provide for enhanced food-borne illness surveillance
		  and food safety capacity.",Health
"To amend title XVIII of the Social Security Act, as amended by the Medicare Prescription Drug, Improvement, and Modernization Act of 2003, to provide additional beneficiary protections.",Health
"To prohibit implementation of the revised definition of short-term, limited duration insurance in
			 order to permit such insurance to provide up to 12 months of coverage.",Health
To increase immunization rates.,Health
"To amend title XIX of the Social Security Act to provide families of disabled children with the opportunity to purchase coverage under the Medicaid Program for such children, and for other purposes.",Health
"To amend titles XIX and XXI of the Social Security Act to improve Medicaid and the Children’s
			 Health Insurance Program for low-income mothers.",Health
"To amend title XVIII of the Social Security Act to create incentives for healthcare providers to
			 promote quality healthcare outcomes, and for other purposes.",Health
"To improve the health of minority individuals, and for other purposes.",Health
"To amend the Federal Food, Drug, and Cosmetic Act to provide for establishment of one or more
			 Intercenter Institutes within the Food and Drug Administration for a major
			 disease area or areas, and for other purposes.",Health
"Recognizing July 28, 2017, as World Hepatitis Day.",Health
"Supporting the designation of September as
		  National Atrial Fibrillation Awareness Month and encouraging
		  efforts to educate the public about atrial fibrillation.",Health
To provide emergency assistance to families through home visiting programs in response to the COVID–19 pandemic.,Health
"To provide for research and education with respect to triple-negative breast cancer, and for other
			 purposes.",Health
"Supporting the goals and ideals of National
		  Nurses Week on May 6, 2013, through May 12, 2013.",Health
Of inquiry directing the President to provide certain documents in the President’s possession to the House of Representatives relating to the oversight of the Wuhan Institute of Virology laboratory by the Director of the National Institutes of Health.,Health
To amend title XVIII of the Social Security Act to include recreational therapy among the therapy modalities that constitute an intensive rehabilitation therapy program in an inpatient rehabilitation hospital or unit.,Health
"Supporting the goals and ideals of the
		  designation of the year of 2011 as the International Year for People of African
		  Descent.",International Affairs
"Urging the appropriate representative of the United States to the 61st session of the United Nations Commission on Human Rights to introduce a resolution calling upon the Government of the People’s Republic of China to end its human rights violations in China, and for other purposes.",International Affairs
"Recognizing the threats to freedom of the press and expression around the world and reaffirming
			 freedom of the press as a priority in the efforts of the United States
			 Government to promote democracy and good governance. ",International Affairs
Recognizing the centennial of the Institute of International Education.,International Affairs
"To direct the Secretary of Defense to strengthen the United States commitment to the security of the Indo-Pacific region and to increase military readiness to defend the homeland and underwrite United States national interests, and for other purposes.",International Affairs
"Honoring the life, legacy, and example of
		  British Prime Minister Baroness Margaret Thatcher.",International Affairs
"Recognizing non-proliferation options for
		  nuclear understanding to keep everyone safe (NO NUKES).",International Affairs
"Expressing the sense of Congress that the
		  United States should neither become a signatory to the Rome Statute on the
		  International Criminal Court nor attend the Review Conference of the Rome
		  Statute in Kampala, Uganda in May 2010.",International Affairs
"Expressing the sense of Congress that
		  Libya’s frozen assets be utilized to pay for NATO’s military
		  campaign.",International Affairs
"To amend the Fentanyl Sanctions Act, to modify certain deadlines relating to the Commission on Combating Synthetic Opioid Trafficking.",International Affairs
"To direct the President to submit to Congress a report on
		  fugitives currently residing in other countries whose extradition is sought by
		  the United States and related matters.",International Affairs
"To promote inclusive economic growth through conservation and biodiversity programs that facilitate transboundary cooperation, improve natural resource management, and build local capacity to protect and preserve threatened wildlife species in the greater Okavango River Basin of southern Africa.",International Affairs
"Recognizing the historical significance of
		  the Mexican holiday of Cinco de Mayo.",International Affairs
Commemorating the 200th anniversary of the abolition of the transatlantic slave trade.,International Affairs
"To authorize the Secretary of State to make grants to American-sponsored schools in Arab and other predominantly Muslim countries to provide full or partial merit-based scholarships for children from lower- and middle-income families of such countries to attend such schools, and for other purposes.",International Affairs
"To ensure compliance with the 1980 Hague Convention on the Civil Aspects of International Child Abduction by countries with which the United States enjoys reciprocal obligations, to establish procedures for the prompt return of children abducted to other countries, and for other purposes.",International Affairs
"To express the disfavor of Congress regarding the proposed agreement for cooperation between the
			 United States and the People’s Republic of China transmitted to the
			 Congress by the President on April 21, 2015, pursuant to the Atomic Energy
			 Act of 1954.",International Affairs
To allow travel between the United States and Cuba.,International Affairs
"To prohibit funding for the United Nations in the event
		  the United Nations grants Palestine a change in status from a permanent
		  observer entity before a comprehensive peace agreement has been reached with
		  Israel.",International Affairs
"To protect against threats posed by Iran to the United States and allies of the United States, and
			 for other purposes. ",International Affairs
"To provide for the imposition of sanctions with respect
		  to foreign persons responsible for or complicit in ordering, controlling, or
		  otherwise directing, the commission of serious human rights abuses against
		  citizens of ALBA countries, and for other purposes.",International Affairs
"To establish in the Department of State the position of Special Envoy for the Abraham Accords, and for other purposes.",International Affairs
To block the property of Russian state-owned entities.,International Affairs
"Recognizing May 28 as World Hunger Day, that the 90th anniversary of the Ukrainian Famine of 1932–1933, known as the Holodomor, should serve as a reminder of repressive Soviet policies against the people of Ukraine, and that Vladimir Putin’s illegal war against Ukraine has diminished Ukraine’s agricultural output and threatens to exacerbate the problems of global hunger on World Hunger Day.",International Affairs
"A resolution commending the Kingdom of
		  Lesotho for the enactment of a law to improve the status of married women and
		  ensure the access of married women to property rights.",International Affairs
"To authorize the President to provide assistance to the Governments of Haiti and Armenia to reverse
			 the effects of deforestation, and for other purposes.",International Affairs
"To impose sanctions against foreign persons and foreign governments in response to certain clandestine attacks on United States personnel, and for other purposes.",International Affairs
"To establish a grant program to preserve the legacy and
		  ideals of Muhammad Ali and promote global respect, understanding, and
		  communication, and for other purposes.",International Affairs
To prohibit the conduct of a first-use nuclear strike absent a declaration of war by Congress.,International Affairs
"To prohibit monetary payments by the Federal Government to employees, officers, and elected
			 officials of foreign countries for purposes of bribery, coercion, or any
			 activity that is illegal or undermines the rule of law or corrupts a
			 public officer or the office such officer represents, and for other
			 purposes.",International Affairs
"Supporting the goals and ideals of World
		  Malaria Day.",International Affairs
"To reform the administration of the Arms Export Control Act, and for other purposes.",International Affairs
"Expressing profound concern about threats to human rights, the rule of law, democracy, and the
			 environment in Brazil.",International Affairs
"To impose sanctions with respect to Iranian persons who engage in politically-motivated harassment,
			 abuse, extortion, or extended detention or trial of individuals in Iran,
			 and for other purposes.",International Affairs
"To provide for oversight of North Korea policy, and for other purposes.",International Affairs
"Relating to the disapproval of the proposed sale to the Government of the United Arab Emirates of
			 certain defense
			 articles and services.",International Affairs
"To amend the State Department Basic Authorities Act of 1956 to eliminate the repatriation loan
			 program, and for other purposes.",International Affairs
"To prohibit funding to negotiate a United Nations Arms
		  Trade Treaty that restricts the Second Amendment rights of United States
		  citizens.",International Affairs
"To protect the environmental integrity of coral reefs and
		  other coastal marine resources from exploration, development, and production
		  activities for petroleum resources located in a maritime exclusive economic
		  zone of the United States that is contiguous to a foreign exclusive economic
		  zone.",International Affairs
"To direct the Secretary of State to take certain actions to end corruption in the Northern Triangle
			 region of Central America, and for other purposes.",International Affairs
"Expressing the sense of the Senate regarding the strategic importance of NATO to the collective
			 security of the transatlantic region and urging its member states to work
			 together at the upcoming summit to strengthen the alliance.",International Affairs
"To ensure that any agreement with Iraq containing a
		  security commitment or arrangement is concluded as a treaty or is approved by
		  Congress. ",International Affairs
"To defeat the Islamic State of Iraq and Syria (ISIS) and protect and secure the United States, and
			 for other purposes.",International Affairs
"Expressing the sense of the House of Representatives that the 85th anniversary of the Ukrainian
			 Famine-Genocide of 1932–1933 (Holodomor) should serve as a reminder of
			 repressive Soviet policies against the people of Ukraine.",International Affairs
"Supporting the establishment and full
		  funding of a staff exchange program between the House of Representatives and
		  the Parliament of Ukraine, the Verkhovna Rada, as soon as
		  possible.",International Affairs
"To apply counterinsurgency tactics under a coordinated
		  and targeted strategy to combat the terrorist insurgency in Mexico waged by
		  transnational criminal organizations, and for other purposes.",International Affairs
"To provide for the establishment of the
		  Special Envoy to Promote Religious Freedom of Religious Minorities in the Near
		  East and South Central Asia.",International Affairs
"Calling on the Government of North Korea to
		  cease all production of weapons of mass destruction, to cease proliferation of
		  ballistic missiles, and to uphold its 1999 pledge to refrain from
		  intercontinental ballistic missile testing, and for other
		  purposes.",International Affairs
To prohibit the commercial export of covered munitions items to the Hong Kong Police Force.,International Affairs
"To require the President to impose sanctions on foreign financial institutions that conduct transactions with the Central Bank of Iran if the President determines that the Central Bank of Iran has engaged in certain transactions relating to the proliferation of chemical, biological, or nuclear weapons or support for acts of international terrorism.",International Affairs
"Calling on the international community to condemn the Laogai, the system of forced labor prison camps in the People’s Republic of China, as a tool for suppression maintained by the Chinese Government.",International Affairs
"Urging the Government of the Russian

		  Federation to withdraw the first draft of the proposed legislation as passed in

		  its first reading in the State Duma that would have the effect of severely

		  restricting the establishment, operations, and activities of domestic,

		  international, and foreign nongovernmental organizations in the Russian

		  Federation, or to modify the proposed legislation to entirely remove these

		  restrictions. ",International Affairs
"Providing for congressional disapproval of the
			 proposed export to the United Arab Emirates and United Kingdom of certain
 defense articles, including technical data and defense services.",International Affairs
"To require the Department of State to publish a list of countries that contract with the Government of Cuba for their medical missions program and ensure that such contracts are considered as factors in considering Trafficking in Persons report rankings, and for other purposes.",International Affairs
To restrict the availability of Federal funds to organizations associated with the abortion industry.,International Affairs
"To ensure the continued investigation of terrorist
		  attacks against the United States attributable to the government of Muammar
		  Qaddafi.",International Affairs
To impose sanctions with respect to certain Russian financial institutions.,International Affairs
"Expressing support for the goal of ensuring that all Holocaust victims live with dignity, comfort,
			 and security in their remaining years, and urging the Federal Republic of
			 Germany to continue to reaffirm its commitment to comprehensively address
			 the unique health and welfare needs of vulnerable Holocaust victims,
 including home care and other medically prescribed needs.",International Affairs
"Recognizing that for 50 years, the Republic of Fiji has worked with the United States toward stability, prosperity, and peace in the Pacific and beyond, and expressing the sense of the House of Representatives that the United States will continue to remain a strong, reliable, and active partner in the Pacific.",International Affairs
"To require the President to determine whether a sale or transfer of advanced integrated air defense systems to Iran meets the requirements to impose sanctions under certain Iran sanctions laws, and for other purposes.",International Affairs
To provide for United States policy toward Taiwan.,International Affairs
"To require an intelligence assessment of the production, planning, and communication of intelligence relating to the withdrawal of United States military from Afghanistan, impose sanctions on the Taliban, report on human rights violations against Afghan individuals who supported the United States, and for other purposes.",International Affairs
"To prohibit the Department of State from obligating or expending any funds to hire a contractor to
			 deliver interactive, professional training seminars for senior-level
			 officials on effective congressional testimony and briefing skills, and
			 for other purposes.",International Affairs
"To support and expand civic engagement and political leadership of adolescent girls around the world, and other purposes.",International Affairs
Providing for congressional disapproval of the proposed foreign military sale to the United Arab Emirates of certain defense articles and services.,International Affairs
